0,1,2,3,4,5,6,7,8,9
"Shawshank Redemption, The (1994)",Wallace & Gromit: The Best of Aardman Animation (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Outlaw Josey Wales, The (1976)","Departed, The (2006)","Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Double Indemnity (1944),Guess Who's Coming to Dinner (1967),"Hustler, The (1961)",Mary and Max (2009),"Day of the Doctor, The (2013)","Three Billboards Outside Ebbing, Missouri (2017)"
"Shawshank Redemption, The (1994)",Army of Darkness (1993),Cyrano de Bergerac (1990),Fight Club (1999),Batman: Mask of the Phantasm (1993),Double Indemnity (1944),Hedwig and the Angry Inch (2000),Top Secret! (1984),Gallipoli (1981),"Jetée, La (1962)"
Hoop Dreams (1994),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Five Easy Pieces (1970),Man Bites Dog (C'est arrivé près de chez vous) (1992),Guess Who's Coming to Dinner (1967)
Hoop Dreams (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Day of the Doctor, The (2013)"
Ghost in the Shell (Kôkaku kidôtai) (1995),Notorious (1946),His Girl Friday (1940),"Streetcar Named Desire, A (1951)",Lawrence of Arabia (1962),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Guess Who's Coming to Dinner (1967),"Outlaw Josey Wales, The (1976)",Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Lawrence of Arabia (1962),"Matrix, The (1999)",Guess Who's Coming to Dinner (1967),"Three Billboards Outside Ebbing, Missouri (2017)"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)","Philadelphia Story, The (1940)",Rear Window (1954),His Girl Friday (1940),Paths of Glory (1957),Lawrence of Arabia (1962),Ran (1985),Fight Club (1999),Guess Who's Coming to Dinner (1967)
"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Godfather, The (1972)",Rear Window (1954),12 Angry Men (1957),Lawrence of Arabia (1962),Fight Club (1999),Guess Who's Coming to Dinner (1967),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)","Three Billboards Outside Ebbing, Missouri (2017)"
"Philadelphia Story, The (1940)","Streetcar Named Desire, A (1951)",Paths of Glory (1957),Ran (1985),Doctor Zhivago (1965),Guess Who's Coming to Dinner (1967),Kelly's Heroes (1970),"Legend of Drunken Master, The (Jui kuen II) (1994)",In the Mood For Love (Fa yeung nin wa) (2000),Baby Driver (2017)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Philadelphia Story, The (1940)",Rear Window (1954),Notorious (1946),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Lawrence of Arabia (1962),Guess Who's Coming to Dinner (1967),Grave of the Fireflies (Hotaru no haka) (1988),"Three Billboards Outside Ebbing, Missouri (2017)"
"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994),Forrest Gump (1994),Dazed and Confused (1993),Schindler's List (1993),"Silence of the Lambs, The (1991)",Fargo (1996),Citizen Kane (1941),Mr. Smith Goes to Washington (1939)
